env,device,model,batch_size,iter_idx,iter_time_ms,imgs_per_sec,timestamp,environment,env_code,source_file
envA,cuda,resnet50,128,30,7135.1,17.94,1763157477.5729215,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,31,6133.2,20.87,1763157489.6525898,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,32,2667.98,47.98,1763157492.321046,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,33,7337.94,17.44,1763157499.6592672,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,34,7656.82,16.72,1763157507.31644,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,35,8561.24,14.95,1763157515.8780162,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,36,7882.49,16.24,1763157523.760846,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,37,7521.19,17.02,1763157531.2825267,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,38,7627.59,16.78,1763157538.9102857,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,32,0,105.64,302.92,1763159536.507706,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,1,45.92,696.8,1763159536.6156776,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,2,99.77,320.75,1763159536.7157173,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,3,96.55,331.44,1763159536.8124857,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,4,97.5,328.2,1763159536.9102366,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,5,96.47,331.7,1763159537.0069444,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,6,99.4,321.95,1763159537.1065717,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,7,103.61,308.84,1763159537.211721,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,8,105.6,303.03,1763159537.3175435,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,9,106.79,299.65,1763159537.4245734,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,10,105.61,302.99,1763159537.530425,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,11,45.31,706.22,1763159537.6359422,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,12,104.79,305.37,1763159537.7410078,RTX 4080,A,resnet50_b32.csv
